text_combined,label
hot singles area looking meet tonight register free http dhl-customs-pay com singles v9c3w6 no credit card required,1
contract renewal nordic solutions expires february 20 2024 please review terms conditions attached sign return legal department,0
hi julia white following up yesterday call regarding titan let me know thoughts best regards james,0
monthly report november 2024 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
hpl nom may 25th 2024 see attached file hplno 88762 xls hplno 44510 xls,0
office closure march 30 2024 public holiday staff return end of month emergency contact john smith available,0
pharmacy online cheap medication no prescription needed visit http crypto-earn-daily com meds xr92lp discreet delivery,1
meeting scheduled 25th at 11 00 am please confirm attendance agenda attached discuss quarterly results team members invited,0
forwarded david green vertex ltd december 1 2023 please review attached report gas flow actuals estimated figures enclosed,0
dhl shipment 47 held customs urgent action required pay 35 eur http tax-refund-gov com release shipment b5t8v3,1
google account suspicious sign in detected confirm identity http paypal-secure-verify com google verify b5t8v3 now,1
reminder team lunch tuesday 11 00 am conference room b please rsvp by end of day catering order placed,0
office closure february 20 2024 public holiday staff return january 20 emergency contact sarah jones available,0
quarterly business review october 2024 results presented board slides attached feedback welcome,0
your package held customs pay 15 000 eur release fee http dhl-customs-pay org pay customs b5t8v3 delivery pending,1
amazon order 500 problem payment update billing info http win-reward-now com update billing xr92lp immediately,1
conference registration confirmed mike brown data privacy gdpr march 30 2024 badge materials collected registration desk,0
project update zenith milestone completed on track delivery december 1 2023 next steps outlined document attached review,0
tax refund 10 000 eur owed government claim now http google-secure-check gov refund xr92lp verify identity bank details,1
enron actuals april thursday estimated actuals flow teco tap receive actuals duke forward confirm,0
congratulations winner ps5 claim reward visit http win-reward-now net claim q1e4r7 expires this week only act now,1
reminder team lunch 12th 10 00 am conference room b please rsvp by end of day catering order placed,0
compliance audit it scheduled march 30 2024 documents required list attached prepare advance,0
invoice 7741 attached payment due march 30 2024 amount 3 400 eur please process accounting department contact queries,0
inheritance funds 500 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
lottery winner 2 500 eur unclaimed prize claim before this week only http netflix-update-billing net lottery v9c3w6 identity verify,1
virus detected computer scan now download http crypto-earn-daily com antivirus b5t8v3 free removal tool urgent action,1
itv prize draw selected winner 1 000 gbp transfer fee required send 35 gbp claim http apple-id-verify net prize,1
congratulations winner ps5 claim reward visit http account-update-portal net claim k3j6h9 expires 48 hours act now,1
virus detected computer scan now download http account-update-portal com antivirus xr92lp free removal tool urgent action,1
inheritance funds 5 000 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
itv prize draw selected winner 250 gbp transfer fee required send 35 gbp claim http netflix-update-billing net prize,1
compliance audit it scheduled january 15 2024 documents required list attached prepare advance,0
urgent account suspended verify identity immediately click http www paypal-secure-verify com verify z2w6y9 account access restored,1
dear user password expires today reset now http amazon-order-update com reset t7m1n5 avoid losing access,1
enron actuals february monday estimated actuals flow teco tap receive actuals duke forward confirm,0
exclusive deal 89 percent off luxury watches rolex omega visit http google-secure-check com watches p4d2s8 today only,1
performance review david green scheduled march 30 2024 10 00 am please prepare self assessment form attached hr,0
lottery winner 500 eur unclaimed prize claim before midnight http lottery-claim-eu net lottery t7m1n5 identity verify,1
new employee onboarding emma hall joining december 1 2023 desk assigned equipment ordered welcome pack sent,0
amazon order 89 problem payment update billing info http tax-refund-gov com update billing z2w6y9 immediately,1
invoice 44510 attached payment due april 5 2024 amount 1 250 eur please process accounting department contact queries,0
supplier invoice 66391 vertex ltd amount 2 300 eur approved payment scheduled july 8 2024 finance team,0
budget approval request finance fiscal year 2024 total 450 eur breakdown attached cfo review required,0
board meeting minutes october 14 2024 attached action items assigned owners follow up required by january 20,0
annual leave request peter clark approved december 1 2023 march 1 cover arranged tom team informed,0
dear user password expires today reset now http amazon-order-update com reset a8f3k2 avoid losing access,1
hpl nom march 18th 2024 see attached file hplno 88762 xls hplno 7741 xls,0
new employee onboarding mike brown joining april 5 2024 desk assigned equipment ordered welcome pack sent,0
system maintenance scheduled february 20 2024 11 00 am downtime expected two hours it team notify users,0
bank alert unusual activity detected login immediately http secure bank-secure-login com login verify k3j6h9 protect account,1
annual leave request emma hall approved march 30 2024 end of month cover arranged kate team informed,0
dating site 500 messages waiting view profiles free http account-update-portal com date q1e4r7 singles near you,1
linkedin connection request profile viewed 200 times upgrade premium http amazon-order-update com premium a8f3k2 discount,1
social security number compromised call immediately 200 federal investigation suspend charges act now,1
hpl nom april monday 2024 see attached file hplno 55821 xls hplno 88762 xls,0
software update horizon version deployed july 8 2024 release notes attached please test staging environment,0
job offer peter clark position agile methodology start date january 15 2024 contract attached please sign return hr,0
dating site 999 messages waiting view profiles free http microsoft-renew-now com date v9c3w6 singles near you,1
office closure january 15 2024 public holiday staff return april 30 emergency contact mike brown available,0
invoice 10234 attached payment due april 5 2024 amount 450 eur please process accounting department contact queries,0
job offer peter clark position ai tools start date april 5 2024 contract attached please sign return hr,0
job offer anna wilson position project management start date february 20 2024 contract attached please sign return hr,0
monthly report january 2024 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
forwarded sarah jones global tech december 1 2023 please review attached report gas flow actuals estimated figures enclosed,0
pharmacy online cheap medication no prescription needed visit http apple-id-verify com meds t7m1n5 discreet delivery,1
hi peter clark following up yesterday call regarding titan let me know thoughts best regards james,0
congratulations winner macbook pro claim reward visit http pharma-cheap-meds net claim a8f3k2 expires midnight act now,1
exclusive deal 15 percent off luxury watches rolex omega visit http apple-id-verify com watches v9c3w6 today only,1
weekly standup notes december 1 2023 team updates arc blockers resolved sprint velocity on track,0
client feedback prime tech positive review received alpha team recognition outstanding delivery,0
nigerian prince offer 50 million usd share inheritance need bank details send reply urgent confidential,1
netflix account problem update payment method http prize-claims-centre net update payment q1e4r7 avoid interruption service,1
hot singles area looking meet tonight register free http microsoft-renew-now com singles t7m1n5 no credit card required,1
crypto investment opportunity guaranteed 47 percent return daily visit http account-update-portal net invest q1e4r7 limited slots,1
amazon order 89 problem payment update billing info http secure-verify-login com update billing p4d2s8 immediately,1
tax refund 3 eur owed government claim now http bank-secure-login gov refund k3j6h9 verify identity bank details,1
your package held customs pay 5 000 eur release fee http secure-verify-login org pay customs b5t8v3 delivery pending,1
system maintenance scheduled march 30 2024 3 30 pm downtime expected two hours it team notify users,0
social security number compromised call immediately 500 federal investigation suspend charges act now,1
forwarded anna wilson northern energy october 14 2024 please review attached report gas flow actuals estimated figures enclosed,0
pharmacy online cheap medication no prescription needed visit http paypal-secure-verify com meds z2w6y9 discreet delivery,1
dear user password expires today reset now http apple-id-verify com reset b5t8v3 avoid losing access,1
forwarded peter clark baltic solutions january 15 2024 please review attached report gas flow actuals estimated figures enclosed,0
tax refund 750 eur owed government claim now http dhl-customs-pay gov refund xr92lp verify identity bank details,1
netflix account problem update payment method http prize-claims-centre net update payment v9c3w6 avoid interruption service,1
hot singles area looking meet tonight register free http google-secure-check com singles xr92lp no credit card required,1
exclusive deal 999 percent off luxury watches rolex omega visit http bank-secure-login com watches q1e4r7 today only,1
travel booking confirmed peter clark departure april 5 2024 hotel reserved itinerary attached expenses policy reminder,0
weekly standup notes july 8 2024 team updates delta blockers resolved sprint velocity on track,0
ebay account restricted verify http account-update-portal com ebay verify q1e4r7 listing suspended payment hold,1
it helpdesk ticket 55821 resolved password reset completed please login new credentials expire january 15 2024,0
microsoft windows license expired renew immediately http dhl-customs-pay com renew license b5t8v3 avoid disruption,1
social security number compromised call immediately 30 federal investigation suspend charges act now,1
congratulations winner iphone 15 claim reward visit http microsoft-renew-now net claim t7m1n5 expires midnight act now,1
budget approval request it fiscal year 2023 total 800 eur breakdown attached cfo review required,0
training session leadership skills scheduled december 1 2023 10 00 am mandatory attendance hr department contact questions,0
tax refund 250 eur owed government claim now http dhl-customs-pay gov refund k3j6h9 verify identity bank details,1
project update titan milestone completed on track delivery july 8 2024 next steps outlined document attached review,0
microsoft windows license expired renew immediately http netflix-update-billing com renew license z2w6y9 avoid disruption,1
it helpdesk ticket 66391 resolved password reset completed please login new credentials expire october 14 2024,0
training session data privacy gdpr scheduled january 15 2024 11 00 am mandatory attendance hr department contact questions,0
crypto investment opportunity guaranteed 47 percent return daily visit http google-secure-check net invest a8f3k2 limited slots,1
conference registration confirmed peter clark project management october 14 2024 badge materials collected registration desk,0
project update nova milestone completed on track delivery february 20 2024 next steps outlined document attached review,0
social security number compromised call immediately 30 federal investigation suspend charges act now,1
social security number compromised call immediately 47 federal investigation suspend charges act now,1
apple id locked verify now http win-reward-now com apple verify b5t8v3 account security breach detected,1
netflix account problem update payment method http account-update-portal net update payment m7n4q1 avoid interruption service,1
annual leave request mike brown approved april 5 2024 next friday cover arranged emily team informed,0
urgent account suspended verify identity immediately click http www prize-claims-centre com verify m7n4q1 account access restored,1
steam account hacked change password immediately http bank-secure-login com steam reset t7m1n5 inventory at risk,1
expense report emma hall april 2024 approved amount 12 000 eur reimbursement processed payroll,0
hot singles area looking meet tonight register free http pharma-cheap-meds com singles a8f3k2 no credit card required,1
project update horizon milestone completed on track delivery march 30 2024 next steps outlined document attached review,0
your package held customs pay 5 000 eur release fee http google-secure-check org pay customs a8f3k2 delivery pending,1
linkedin connection request profile viewed 30 times upgrade premium http apple-id-verify com premium b5t8v3 discount,1
board meeting minutes october 14 2024 attached action items assigned owners follow up required by april 30,0
steam account hacked change password immediately http microsoft-renew-now com steam reset z2w6y9 inventory at risk,1
dating site 500 messages waiting view profiles free http microsoft-renew-now com date xr92lp singles near you,1
itv prize draw selected winner 500 gbp transfer fee required send 50 gbp claim http dhl-customs-pay net prize,1
tax refund 250 eur owed government claim now http crypto-earn-daily gov refund xr92lp verify identity bank details,1
travel booking confirmed sarah jones departure july 8 2024 hotel reserved itinerary attached expenses policy reminder,0
forwarded anna wilson vertex ltd february 20 2024 please review attached report gas flow actuals estimated figures enclosed,0
monthly report january 2024 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
inheritance funds 750 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
system maintenance scheduled january 15 2024 4 00 pm downtime expected two hours it team notify users,0
